A:\Indus\Contour\IndusFont1840Out5\00000000.bmp,5,8,1,8,4,8,2,10,
A:\Indus\Contour\IndusFont1840Out5\00000001.bmp,5,8,1,8,5,8,6,8,
A:\Indus\Contour\IndusFont1840Out5\00000002.bmp,4,8,1,8,4,10,6,16,
A:\Indus\Contour\IndusFont1840Out5\00000003.bmp,5,6,1,6,4,8,6,8,
A:\Indus\Contour\IndusFont1840Out5\00000004.bmp,4,6,1,6,3,6,2,4,
A:\Indus\Contour\IndusFont1840Out5\00000005.bmp,5,8,1,8,5,8,6,8,
A:\Indus\Contour\IndusFont1840Out5\00000006.bmp,4,8,1,8,3,10,2,10,
A:\Indus\Contour\IndusFont1840Out5\00000007.bmp,4,6,3,6,3,8,4,6,
A:\Indus\Contour\IndusFont1840Out5\00000008.bmp,4,6,1,6,3,8,5,6,
A:\Indus\Contour\IndusFont1840Out5\00000009.bmp,4,8,1,8,3,8,3,4,
A:\Indus\Contour\IndusFont1840Out5\00000010.bmp,4,8,4,8,3,8,5,4,
A:\Indus\Contour\IndusFont1840Out5\00000011.bmp,4,6,1,6,4,6,3,4,
A:\Indus\Contour\IndusFont1840Out5\00000012.bmp,4,6,1,6,4,6,4,6,
A:\Indus\Contour\IndusFont1840Out5\00000013.bmp,6,6,1,8,5,8,6,6,
A:\Indus\Contour\IndusFont1840Out5\00000014.bmp,6,6,1,10,5,8,3,12,
A:\Indus\Contour\IndusFont1840Out5\00000015.bmp,4,6,1,6,3,8,3,14,
A:\Indus\Contour\IndusFont1840Out5\00001000.bmp,5,6,1,6,4,13,6,16,
A:\Indus\Contour\IndusFont1840Out5\00001001.bmp,5,6,1,6,4,13,5,16,
A:\Indus\Contour\IndusFont1840Out5\00001002.bmp,5,6,1,6,4,13,5,16,
A:\Indus\Contour\IndusFont1840Out5\00001003.bmp,5,6,1,6,5,14,5,16,
A:\Indus\Contour\IndusFont1840Out5\00001004.bmp,5,6,3,6,4,8,3,12,
A:\Indus\Contour\IndusFont1840Out5\00001005.bmp,4,6,1,6,3,8,5,8,
A:\Indus\Contour\IndusFont1840Out5\00001006.bmp,4,6,1,6,3,8,5,8,
A:\Indus\Contour\IndusFont1840Out5\00001007.bmp,4,6,2,6,4,8,3,6,
A:\Indus\Contour\IndusFont1840Out5\00001008.bmp,4,6,2,6,3,8,4,4,
A:\Indus\Contour\IndusFont1840Out5\00001009.bmp,5,6,2,6,4,6,2,6,
A:\Indus\Contour\IndusFont1840Out5\00001010.bmp,4,6,2,6,3,8,3,4,
A:\Indus\Contour\IndusFont1840Out5\00001011.bmp,4,6,1,6,3,8,5,8,
A:\Indus\Contour\IndusFont1840Out5\00001012.bmp,5,8,2,12,4,6,3,6,
A:\Indus\Contour\IndusFont1840Out5\00001013.bmp,5,10,1,10,5,12,4,14,
A:\Indus\Contour\IndusFont1840Out5\00001014.bmp,5,6,1,6,4,6,2,6,
A:\Indus\Contour\IndusFont1840Out5\00001015.bmp,4,6,1,8,3,8,5,6,
A:\Indus\Contour\IndusFont1840Out5\00002000.bmp,4,6,3,6,4,6,5,6,
A:\Indus\Contour\IndusFont1840Out5\00002001.bmp,4,6,1,8,4,8,3,6,
A:\Indus\Contour\IndusFont1840Out5\00002002.bmp,4,4,1,8,4,8,3,6,
A:\Indus\Contour\IndusFont1840Out5\00002003.bmp,4,6,1,8,3,8,3,4,
A:\Indus\Contour\IndusFont1840Out5\00002004.bmp,4,4,3,6,3,8,5,8,
A:\Indus\Contour\IndusFont1840Out5\00002005.bmp,4,4,1,6,3,8,3,4,
A:\Indus\Contour\IndusFont1840Out5\00002006.bmp,4,4,1,6,3,8,3,14,
A:\Indus\Contour\IndusFont1840Out5\00002007.bmp,4,4,1,6,3,8,3,14,
A:\Indus\Contour\IndusFont1840Out5\00002008.bmp,4,4,1,6,3,8,3,8,
A:\Indus\Contour\IndusFont1840Out5\00002009.bmp,4,4,3,4,4,10,5,10,
A:\Indus\Contour\IndusFont1840Out5\00002010.bmp,4,4,2,10,3,8,3,10,
A:\Indus\Contour\IndusFont1840Out5\00002011.bmp,5,2,3,2,4,10,5,10,
A:\Indus\Contour\IndusFont1840Out5\00002012.bmp,6,4,3,4,5,12,5,12,
A:\Indus\Contour\IndusFont1840Out5\00002013.bmp,5,2,3,4,4,6,4,6,
A:\Indus\Contour\IndusFont1840Out5\00002014.bmp,4,4,3,4,3,16,8,14,
A:\Indus\Contour\IndusFont1840Out5\00002015.bmp,4,4,2,10,3,8,5,8,
A:\Indus\Contour\IndusFont1840Out5\00003000.bmp,4,10,5,10,3,8,8,8,
A:\Indus\Contour\IndusFont1840Out5\00003001.bmp,4,8,5,10,3,8,9,8,
A:\Indus\Contour\IndusFont1840Out5\00003002.bmp,4,10,5,10,3,6,8,6,
A:\Indus\Contour\IndusFont1840Out5\00003003.bmp,5,2,3,2,4,8,9,6,
A:\Indus\Contour\IndusFont1840Out5\00003004.bmp,4,8,3,8,4,8,9,8,
A:\Indus\Contour\IndusFont1840Out5\00003005.bmp,5,2,6,2,4,10,5,12,
A:\Indus\Contour\IndusFont1840Out5\00003006.bmp,5,4,6,4,5,8,4,8,
A:\Indus\Contour\IndusFont1840Out5\00003007.bmp,5,2,6,2,4,12,6,12,
A:\Indus\Contour\IndusFont1840Out5\00003008.bmp,6,2,1,2,5,10,4,10,
A:\Indus\Contour\IndusFont1840Out5\00003009.bmp,6,6,4,6,5,6,2,4,
A:\Indus\Contour\IndusFont1840Out5\00003010.bmp,5,8,1,8,4,14,2,12,
A:\Indus\Contour\IndusFont1840Out5\00003011.bmp,5,8,1,8,4,14,2,6,
A:\Indus\Contour\IndusFont1840Out5\00003012.bmp,5,8,1,8,4,14,2,6,
A:\Indus\Contour\IndusFont1840Out5\00003013.bmp,5,8,1,10,5,6,4,10,
A:\Indus\Contour\IndusFont1840Out5\00003014.bmp,5,8,1,8,4,14,2,6,
A:\Indus\Contour\IndusFont1840Out5\00003015.bmp,5,8,1,8,4,12,2,6,
A:\Indus\Contour\IndusFont1840Out5\00004000.bmp,4,8,3,10,3,4,2,4,
A:\Indus\Contour\IndusFont1840Out5\00004001.bmp,5,8,3,10,4,10,3,10,
A:\Indus\Contour\IndusFont1840Out5\00004002.bmp,7,6,2,6,6,12,2,12,
A:\Indus\Contour\IndusFont1840Out5\00004003.bmp,7,6,1,6,6,15,4,16,
A:\Indus\Contour\IndusFont1840Out5\00004004.bmp,7,12,1,12,7,14,4,14,
